150	99481443493.770553588867188
159	13499402583.083267211914062
168	8757039269.635251998901367
177	6136275909.783882141113281
186	4268534100.320510387420654
195	1994981050.452692270278931
204	1297119728.703634500503540
213	940825400.929656147956848
222	720181748.273932933807373
231	529522782.818493485450745
240	263744635.691190570592880
249	113814797.974075749516487
258	75192255.125837132334709
267	61594315.754095867276192
276	41562452.565106406807899
285	29865991.763505741953850
294	16928598.824939265847206
303	8720919.480356387794018
312	5194762.538247836753726
321	3243719.509918275289237
330	1916636.182037093909457
