150	109323471392.570343017578125
159	19230951543.148284912109375
168	10555087224.601177215576172
177	7859408418.317213058471680
186	5275613021.115613937377930
195	1819020787.071437120437622
204	1057344570.336908221244812
213	936178237.639259338378906
222	634678432.093086838722229
231	409967796.604084253311157
240	305473510.471079766750336
249	208741298.916785329580307
258	153080791.245577543973923
267	121353922.806983545422554
276	88020257.741001740098000
285	46032025.316477000713348
294	32530273.966909684240818
303	17292584.351121801882982
312	7029999.839819296263158
321	5623745.252211086452007
330	4019029.987768108025193
