150	93136235758.868453979492188
159	19158998521.996212005615234
168	17138927091.089712142944336
177	10224108910.879007339477539
186	9162880478.741622924804688
195	3655616779.274605274200439
204	2691901068.636126518249512
213	2398489405.117149829864502
222	2398489405.117149829864502
231	2398489405.117149829864502
240	2040107744.606490373611450
249	2040107744.606490373611450
258	2040107744.606490373611450
267	2040107744.606490373611450
276	2040107744.606490373611450
285	2040107744.606490373611450
294	2040107744.606490373611450
303	938028698.814571499824524
312	695819662.430291891098022
321	518957112.466314196586609
330	378644267.044465541839600
