150	108698523552.508850097656250
159	11713493554.485523223876953
168	6172089046.110463142395020
177	4314833049.036483764648438
186	2936143389.726636886596680
195	1926487768.495554924011230
204	1550293314.751822948455811
213	795541285.006270408630371
222	474070117.759485781192780
231	403937773.606589496135712
240	275574572.402556836605072
249	226662664.424031376838684
258	103582048.225146114826202
267	91171079.563434541225433
276	67226918.270408958196640
285	53403811.878531806170940
294	25659090.391113337129354
303	21065787.648874826729298
312	8836607.596087053418159
321	6308789.657298649661243
330	4863320.263825540430844
