150	99459969767.990600585937500
159	12952842018.405838012695312
168	8920801173.199241638183594
177	6218934136.954545974731445
186	3879675718.470966815948486
195	3098414881.091695785522461
204	1998315420.567824602127075
213	1437055810.558615922927856
222	883014685.936622262001038
231	543724060.261616110801697
240	422818331.353420197963715
249	212436856.420478433370590
258	153976390.010096400976181
267	118340990.161734312772751
276	72648689.239914998412132
285	41992999.185143381357193
294	27069681.392115633934736
303	12246009.109388485550880
312	7506946.992020579054952
321	5913870.470265917479992
330	4073993.051209724042565
