150	130842390729.553573608398438
159	8232155951.720545768737793
168	6265088849.464126586914062
177	5561959643.501928329467773
186	4744454940.866383552551270
195	2156865526.533757686614990
204	1152455589.624981403350830
213	696260442.566586017608643
222	483219542.009361922740936
231	314736141.385204136371613
240	230541932.944177776575089
249	144643580.791546881198883
258	71100858.525059208273888
267	51279568.805276803672314
276	35606475.292689003050327
285	21295631.216877616941929
294	17486696.198645010590553
303	9941279.475905383005738
312	5052710.411827783100307
321	3430316.530390896368772
330	2824746.886100907810032
