150	101074974267.782409667968750
159	14507826062.597948074340820
168	8725061038.621477127075195
177	6334395534.084542274475098
186	4649305532.575833320617676
195	3492976748.318858146667480
204	1818436554.808078289031982
213	1264136487.885566711425781
222	799241212.539052963256836
231	578461486.765742063522339
240	333203109.619038879871368
249	154876872.695388376712799
258	91910546.878224879503250
267	62461430.730335265398026
276	47695738.054990962147713
285	39665854.574420973658562
294	30241535.530845396220684
303	9371342.351119147613645
312	6451229.993682223372161
321	4137341.443989218212664
330	2491322.412079690955579
